"Sample","MeanCoverage","MeanDepth","sex","site","population"
"CHK001",98.3913273466413,11.7685242783034,"F","Chennek","North"
"CHK002",98.3514311652136,9.99970607480004,"F","Chennek","North"
"CHK003",98.3582905530271,10.1021035271727,"M","Chennek","North"
"CHK004",98.3570768409772,9.82427794609845,"M","Chennek","North"
"CHK005",97.9789373726197,6.29410635139557,"M","Chennek","North"
"LID_108583",96.1192951112077,5.06991887519948,"F","Chennek","North"
"LID_108584",97.4010918062187,7.81656369893598,"M","Chennek","North"
"LID_108585",96.9343066320562,5.94747301876822,"M","Chennek","North"
"LID_108586",96.9330901159473,6.39339424752062,"M","Chennek","North"
"LID_108587",98.1293123859959,10.0905688284989,"M","Chennek","North"
"LID_108588",92.1839064954635,3.90155513658893,"M","Chennek","North"
"LID_108589",97.4949654766952,7.66263088265993,"M","Chennek","North"
"LID_108590",96.9998227789179,5.96469794934499,"M","Chennek","North"
"LID_108591",98.10483657802,10.1149569427716,"F","Chennek","North"
"LID_108592",98.2484955795451,12.0606500216346,"F","Chennek","North"
"LID_108597",97.5546483382102,7.36688844987954,"M","Gich","North"
"LID_108598",98.1752728603154,10.6455997499155,"M","Gich","North"
"LID_108599",98.3794988423495,12.9921569547041,"M","Gich","North"
"LID_108600",98.37222021425,11.4573183650209,"M","Gich","North"
"LID_108514",97.9924376932101,7.9371438008229,"M","Sankaber","North"
"LID_108563",96.779153336961,6.10848962670426,"M","Sankaber","North"
"LID_108564",92.9471692402002,3.78683320676969,"F","Sankaber","North"
"LID_108565",92.1670355093573,3.55182581026207,"M","Sankaber","North"
"LID_108566",82.8290802302538,2.28420437663005,"M","Sankaber","North"
"LID_108567",95.0474709670829,4.8992558096052,"M","Sankaber","North"
"LID_108568",97.6442853973595,7.7177680813598,"F","Sankaber","North"
"LID_108569",98.1894230627256,9.78324508674262,"F","Sankaber","North"
"LID_108570",91.2078342356736,3.29529667739305,"F","Sankaber","North"
"LID_108571",92.9130709337199,4.11560392737625,"F","Sankaber","North"
"LID_108572",94.5860316491418,4.52949479379336,"F","Sankaber","North"
"LID_108573",94.2795471611726,5.04282527090432,"F","Sankaber","North"
"LID_108574",94.1562889590961,4.85588353469802,"F","Sankaber","North"
"LID_108575",93.574832246232,4.24272149941115,"F","Sankaber","North"
"LID_108576",95.4218848149168,5.2401808287997,"M","Sankaber","North"
"LID_108577",96.2374049123338,5.75047400160306,"F","Sankaber","North"
"LID_108578",97.2463277961739,7.8636819371368,"F","Sankaber","North"
"LID_108579",95.8446358585741,5.22376183530224,"M","Sankaber","North"
"LID_108580",96.0571600006181,5.24914433692397,"F","Sankaber","North"
"LID_108581",95.9462926675666,5.75756481300983,"F","Sankaber","North"
"LID_108582",97.4151278343622,6.94268543478046,"F","Sankaber","North"
"LID_108593",97.4782654143856,8.02258237129245,"M","Sankaber","North"
"LID_108594",97.8663557396195,7.71516291998789,"M","Sankaber","North"
"LID_108595",96.8507090822976,6.25543395202423,"M","Sankaber","North"
"LID_108596",86.9911772980462,2.48182678906703,"M","Sankaber","North"
"LID_108604",98.2680906506319,13.3541820399752,"M","Sankaber","North"
"LID_108605",98.2321383610205,8.95311241494916,"M","Sankaber","North"
"LID_108606",98.2945730916771,9.47516478716132,"F","Sankaber","North"
"LID_108607",98.2406038122288,9.08138213906328,"F","Sankaber","North"
"LID_108608",97.6364310391105,6.56020417884619,"F","Sankaber","North"
"LID_108609",98.4340105951612,18.888381064346,"F","Sankaber","North"
"LID_108610",98.3214623644192,10.3211183186521,"M","Sankaber","North"
"SKR000",98.4487288610155,41.3148915644129,"M","Sankaber","North"
"SKR001",98.3868029151412,11.8168165627436,"M","Sankaber","North"
"SKR002",98.3964757926731,8.66260442707469,"M","Sankaber","North"
"SKR003",98.3838620050189,9.62522969368273,"F","Sankaber","North"
"SKR004",98.262448488317,6.96668414396016,"F","Sankaber","North"
"SKR005",98.4061827877514,10.0609517870186,"F","Sankaber","North"
"SKR006",98.1822851714363,7.94733588752384,"M","Sankaber","North"
"SKR007",98.4606413672479,19.7433656352625,"M","Sankaber","North"
"SKR008",98.4365140348545,13.784516840239,"F","Sankaber","North"
"SKR009",98.4429968379756,16.0350822989988,"M","Sankaber","North"
"SKR010",98.3493724219059,9.76787913754386,"M","Sankaber","North"
"SKR011",98.3733816865533,9.51092273835547,"M","Sankaber","North"
"SKR012",98.3814191841376,9.54675495777717,"F","Sankaber","North"
"SKR013",98.3995084797227,10.5662862823565,"M","Sankaber","North"
"SKR014",98.3191973348074,8.1961844044421,"M","Sankaber","North"
"SKR015",98.4544545310794,22.8936421214077,"F","Sankaber","North"
"SKR016",98.4221794641492,13.480966271729,"F","Sankaber","North"
"SKR017",98.4063558045641,11.285672800048,"M","Sankaber","North"
"SKR018",98.4089757612387,11.3820928335802,"M","Sankaber","North"
"SKR019",98.3759694553061,9.10789504041655,"F","Sankaber","North"
"SKR020",98.4968790716675,31.7727090297726,"F","Sankaber","North"
"SKR021",98.3962571244386,11.3923981533819,"M","Sankaber","North"
"SKR022",98.4297543955435,19.7849726278061,"F","Sankaber","North"
"SKR023",98.3342335596457,9.01559042848558,"F","Sankaber","North"
"SKR024",98.3842932887126,10.7653453754741,"F","Sankaber","North"
"SKR025",97.7059910529183,5.82935108908368,"F","Sankaber","North"
"SKR026",98.4280486660804,13.2984629998583,"F","Sankaber","North"
"SKR027",98.2856322493695,8.67984391841775,"M","Sankaber","North"
"SKR028",98.4292671387213,12.3696479882338,"F","Sankaber","North"
"SKR029",98.3415807052364,9.20121456809347,"F","Sankaber","North"
"SKR030",98.4208300165544,16.1213035707832,"F","Sankaber","North"
"SKR031",98.2840552065982,8.46128591544578,"F","Sankaber","North"
"SKR032",98.3996781885618,12.0381684499692,"M","Sankaber","North"
"SKR033",98.2396623944739,7.5644999199463,"F","Sankaber","North"
"SKR034",98.0718392167944,6.66604551314816,"F","Sankaber","North"
"SKR035",98.4212938878171,13.0052003880681,"F","Sankaber","North"
"SKR036",97.8428094916368,6.15451692965988,"F","Sankaber","North"
"SKR037",98.3023807608587,8.39036854482127,"M","Sankaber","North"
"SKR038",98.4124055010377,13.5063317886304,"M","Sankaber","North"
"SKR039",98.3995641811681,12.7100260001559,"F","Sankaber","North"
"SKR040",97.8286257513051,6.21619239022536,"M","Sankaber","North"
"SKR041",96.3367799451217,4.55067511086763,"M","Sankaber","North"
"SKR042",97.8591004307571,6.37001038329042,"M","Sankaber","North"
"SKR043",98.2984809671332,8.35917331774649,"M","Sankaber","North"
"SKR044",98.4057665105903,13.2966296473195,"M","Sankaber","North"
"GUA001",98.3252487854855,11.2115874475539,"M","Guassa","Central"
"GUA002",98.333594559966,12.3053407006466,"M","Guassa","Central"
"GUA003",98.3549916066846,22.3732503758768,"M","Guassa","Central"
"306113",98.2485585429274,9.33168107052005,"M","Zoo","Zoo"
"306114",98.2815421536571,9.7729791369435,"M","Zoo","Zoo"
"306115",98.1405962902322,7.75176743443796,"M","Zoo","Zoo"
"306116",98.2820716837397,9.64485820010095,"M","Zoo","Zoo"
"306117",98.2591399302587,8.94934966036151,"M","Zoo","Zoo"
"306118",98.2437038073689,8.72204256461342,"M","Zoo","Zoo"
"306119",98.2607097232518,8.54892401771963,"M","Zoo","Zoo"
"306120",98.140530468331,7.27717525069686,"M","Zoo","Zoo"
"306121",98.2850720498965,11.3277732838971,"M","Zoo","Zoo"
"FRZ000",98.3733749031217,44.6971237205687,"F","Zoo","Zoo"
"FRZ001",98.233188318203,8.50072028133269,"M","Zoo","Zoo"
"FRZ002",98.3165977733135,8.64786013718918,"M","Zoo","Zoo"
"FRZ003",97.9965730909493,6.58660311393408,"M","Zoo","Zoo"
"FRZ004",98.2767827468102,9.33203981313765,"F","Zoo","Zoo"
"FRZ005",98.2469429560142,8.31621882820202,"F","Zoo","Zoo"
"FRZ006",97.6822726341154,5.57699074517837,"F","Zoo","Zoo"
"FRZ007",98.0161949273676,6.26824825134032,"F","Zoo","Zoo"
"FRZ008",58.8119847717773,0.941976368645201,"M","Zoo","Zoo"
"FRZ009",98.1591856401156,7.75784607094297,"F","Zoo","Zoo"
"FRZ010",98.3078696163518,11.274744618185,"F","Zoo","Zoo"
"FRZ011",98.2457479994534,8.54187389701523,"M","Zoo","Zoo"
"FRZ012",98.1325477304137,7.49694975225713,"M","Zoo","Zoo"
"FRZ013",98.0406173267622,6.76463330956103,"F","Zoo","Zoo"
"FRZ014",98.2939971748845,9.97741229853828,"F","Zoo","Zoo"
"FRZ015",98.3629215626901,11.6688320771237,"F","Zoo","Zoo"
"FRZ016",98.0376586984716,6.71394489408224,"M","Zoo","Zoo"
"LID_1074790",96.0036990532283,4.13124304669029,"F","Zoo","Zoo"
"ERR12892801",98.2397947410665,10.1190245599232,"UNK","Arsi","South"
"ERR12892802",98.3151658752859,29.2184508622305,"UNK","Arsi","South"
"LID_1074575",13.0841234068058,0.371399514328469,"UNK","Arsi","South"
"LID_1074577",5.63724577367787,0.105185941100611,"UNK","Arsi","South"
"LID_1074578",39.7257830464348,1.73631358916007,"UNK","Arsi","South"
"LID_1074771",46.2660457666,2.47010318203253,"UNK","Arsi","South"
"LID_1074772",49.3352634469869,1.15876989598235,"UNK","Arsi","South"
"LID_1074773",32.6055180410889,1.48008330435249,"UNK","Arsi","South"
"LID_1074774",15.7103261623563,0.80826633627941,"UNK","Arsi","South"
"LID_1074775",11.2132614873755,0.349276770469335,"UNK","Arsi","South"
"LID_1074777",14.2093592859826,0.352675758389,"UNK","Arsi","South"
"LID_1074778",25.1487527692466,0.657198429773293,"UNK","Arsi","South"
"LID_1074779",39.6472396077471,1.26857900248134,"UNK","Arsi","South"
"LID_1074780",11.2593221008221,0.221805499050156,"UNK","Arsi","South"
"LID_1074781",51.9125617857868,2.38604006511772,"UNK","Arsi","South"
"LID_1074782",7.57597330319086,0.259652096290928,"UNK","Arsi","South"
"LID_1074783",6.49469880815513,0.136131558609103,"UNK","Arsi","South"
"LID_1074784",27.9086467842654,1.01928789224014,"UNK","Arsi","South"
"LID_1074785",13.1507959333915,0.280629294261504,"UNK","Arsi","South"
"LID_1074786",78.2695733482205,2.61293859403763,"UNK","Arsi","South"
"LID_1074787",29.5086741669248,0.611680020117963,"UNK","Arsi","South"
"LID_1074788",16.5428249187034,0.444795827424792,"UNK","Arsi","South"
"LID_1074789",6.03647775891632,0.123699421073772,"UNK","Arsi","South"
